English,Vietnamese
keep going,tiếp tục đi
drop by,ghé qua
Can I put you on hold?,có thể đợi tôi một chút không? (gọi điện thoại)
in charge of,phụ trách
running short of time,Hết thời gian
get a move on,Nhanh lên
that's K for Korea,Đó là K cho Hàn Quốc
How can I help you?,Tôi có thể giúp gì cho bạn?
It's for you,Nó dành cho bạn (gọi điện thoại)
a head of schedule,trước thời hạn
on schedule,đúng tiến độ
behind schedule,chậm tiến độ
tied up,rất bận
When is the good time?,Khi nào là thời điểm tốt?
held up,trì hoãn
move something out of the way,Di chuyển một cái gì đó ra khỏi đường
upside down,lộn ngược
right side up,xuôi
no wonder,không có thắc mắc
It's on me,Để tôi trả hết cho (trả tiền) 
stuck in traffic,kẹt xe
It slipped my mind,tôi quên mất
under a lot of pressure,áp lực lớn
drop something off,đặt cái gì đó ở nơi nào đó
Have you done something yet?,Bạn đã làm gì đó chưa?
get through,kết nối (gọi điện)
put up with something,chịu đựng với cái gì đó
right away,ngay lập tức
immediately,ngay lập tức
It's not the end of the world,Nó không tệ đến vậy
in the same boat,cuùng chung cảnh ngộ
I'm not following you,tôi không đồng ý với bạn
get cut off,mất kết nối
have change,có tiền lẻ
small change,tiền xu
the second to last,cái gần cuối
comes in,có thể có
I've been waiting for a long time,Tôi đã chờ đợi rất lâu
make up my mind,quyết định
discuss something,thảo luận về điều gì đó
stay up,thức
oversleep,ngủ quên
about to do something,làm điều gì đó sớm hơn dự định
get sidetracked,"bị lạc hướng, lạc đề"
gone for the day,đã đi trong ngày
in the lighting business,trong ngành đèn điện
a win-win situation,2 bên cùng có lợi
that's it,không còn gì nữa
It's about time,nói về điều gì đó tuy trễ dự kiến nhưng vẫn xảy ra
get it,"có được rồi, hiểu rồi"
pick something up,cầm thứ nào đó lên
Can I take a rain check?,Tôi có thể thay đổi lịch hẹn được không?
take time off,nghỉ làm 
on top of that,trên tất cả
put something on,mặc
try on,mặc thử
I didn't mean that,Ý tôi không phải vậy
Do you mind if I join you?,Bạn có phiền nếu tôi tham gia cùng bạn không?
chip in,Góp tiền
drop someone off,bỏ ai đó ở một nơi nào đó
What's diffirence between A and B?,Sự khác biệt giữa A và B là gì?
end up doing something,Cuối cùng làm điều gì đó
You shouldn't have,Bạn không cần phải làm thế đâu (thể hiện sự cảm kích)
the day after tomorrow,ngày kia
take turns doing something,Thay phiên nhau làm điều gì đó
remind someone to,nhắc nhở ai đó
fed up with something,Chán ngấy với một cái gì đó
as long as,miễn là
on the condition that,với điều kiện mà
providing that,cung cấp điều đó
good at something,Tốt ở một cái gì đó
"so far, so good",càng xa càng tốt
That sounds good,Nghe có vẻ tốt
you're not allowed to do something,Bạn không được phép làm điều gì đó
despite something,Mặc dù có gì đó
as a result,kết quả là
consequently,hậu quả là
as an effect,như một hiệu ứng
Do you know where something is?,Bạn có biết một cái gì đó ở đâu không?
sorry to interrupt,Xin lỗi để ngắt lời
in good condition,trong điều kiện tốt
He just stepped out,Anh ấy vừa mới ra ngoài
I'll put you through,Tôi sẽ liên lạc với bạn
There's been a delay,Có một sự chậm trễ
for good,mãi mãi
hear from someone,nghe từ ai đó
That's too bad,Thật tệ
What's this charge for?,Chi phí này là gì?
hear back from someone,nghe lại từ ai đó
better off doing something,Tốt hơn hết là làm điều gì đó
the second one from the left/right,cái thứ hai từ bên trái/phải
Are you still on for today?,bạn còn nhớ buổi hẹn hôm nay không?
go ahead,do it (làm đi)
in a good mood,trong một tâm trạng tốt
in a bad mood,Trong một tâm trạng tồi tệ
run into someone,tình cờ gặp ai đó
I can't get something to work,Tôi không thể có được thứ gì đó để làm việc
I can't make something function,tôi không thể làm cho thứ gì đó hoạt động được
take it apart,tháo rời
put it back together,lắp lại
What do you think about doing something?,Bạn nghĩ gì về việc làm một cái gì đó?
don't see eye to eye,không đồng tình
What's something made of?,Một cái gì đó được làm bằng?
worth,đáng giá
plug something in,cắm một cái gì đó vào
what if = what will happen if,Điều gì xảy ra nếu = điều gì sẽ xảy ra nếu
look something up,tra cứu cái gì đó
get rid of something,bỏ một thứ gì đó
must have done something,Phải làm điều gì đó
don't mention it,một cách lịch sự để đáp lại khi ai đó nói cảm ơn
would you mind doing something?,Bạn có phiền làm gì đó không?
sold out,bán hết
half-way through,đã hoàn thành được một nửa
how much longer,bao lâu nữa
take the highway,Đi theo đường cao tốc
double-check,kiểm tra hai lần
a bad connection,tín hiệu kém
in that case,trong trường hợp đó
Where is something held?,Một cái gì đó được tổ chức ở đâu?
It doesn't matter,Nó không quan trọng
Is this seat taken?,Ghế này đã có ai ngồi chưa?
play it by ear,tùy cơ ứng biến
set up,"thành lập, cài đặt"
In those days,Trong những ngày đó
I didn't get your name,tôi không nhớ tên của bạn
nice to see you again,Rất vui được gặp lại bạn
It's on the tip of my tongue,tôi gần nhớ ra rồi
give someone a ride,cho ai đó đi nhờ xe
have trouble with something,gặp rắc rối với một cái gì đó
by far,cho đến nay
I'm positive,tôi chắc chắn
I can't figure out how to,Tôi không thể tìm ra cách
something works,một cái gì đó hoạt động
come off,rời ra
a fortune,một tài sản
at the most,Trong phần lớn
in the short term,Trong thời gian ngắn
in the long run,về lâu dài
think it over,cần thời gian để suy nghĩ thêm
get something in writing,Nhận một cái gì đó bằng văn bản
come with,đi với
instead of something,thay vì một cái gì đó
throw something away,vứt bỏ thứ gì đó
put something away,cất thứ gì đó
give someone a hand,giúp ai đó
bring something up,bắt đầu nói về thứ gì đó
fine with me,tôi đồng ý với lời gợi ý đó
a table for three,một bàn cho 3 người
ready to order,sẵn sàng để đặt hàng
split the check,chia hóa đơn
the other day,ngày khác
there is something left,có gì đó bị quên
run out of something,hết cái gì đó
I haven't seen you for a long time,Tôi đã không gặp bạn trong một thời gian dài
What are you up to these days?,bạn đã làm gì trong những ngày này?
I'd better get going,Tốt hơn là tôi nên đi 
keep in touch,giữ liên lạc
send me regards to someone,Gửi lời chào của tôi đến ai đó
call someone back,Gọi lại cho ai đó
go through something,kiểm tra lại gì đó rất cẩn thận
returning someone call,sử dụng khi gọi lại cho ai đó
on the other line,Trên đường dây điện thoại khác
on the right track,Đi đúng hướng
almost all something,Hầu như tất cả một cái gì đó
for the next three days,trong ba ngày tiếp theo